source,target_year,target_t,observed_max_3m_abs,baseline_max_3m,baseline_lead_nino,cnop_lead_nino,lead_delta,cnop_max_3m,gain_max_3m,best_start_idx,best_objective,mask_count
EC-Earth3,1891,492,0.38505491614341736,0.024664143100380898,0.010248830541968346,0.797875702381134,0.7876268718391657,0.7440440058708191,0.7193798627704382,15,0.7861442565917969,12136
MPI-ESM1-2-HR,1984,1608,0.4608999788761139,0.3624238073825836,0.1295023411512375,1.1207693815231323,0.9912670403718948,1.230387806892395,0.8679639995098114,1,0.9924411773681641,12178
MPI-ESM1-2-HR,1904,648,0.4589811861515045,0.3570956289768219,0.3965678811073303,1.1414724588394165,0.7449045777320862,1.0408118963241577,0.6837162673473358,8,0.7452182769775391,12178
MPI-ESM1-2-HR,1890,480,0.32051339745521545,-0.20251786708831787,-0.1836114525794983,0.5076901912689209,0.6913016438484192,0.4151245057582855,0.6176423728466034,10,0.6921272277832031,12178
MPI-ESM1-2-HR,1990,1680,0.4964567720890045,0.05720816180109978,0.021125061437487602,0.8286135196685791,0.8074884582310915,0.8562791347503662,0.7990709729492664,10,0.8091773986816406,12178
GFDL-ESM4,1995,1740,0.22883670032024384,0.3138956129550934,0.1244838535785675,1.4683027267456055,1.343818873167038,1.333107590675354,1.0192119777202606,14,1.3472518920898438,12198
GFDL-ESM4,1916,792,0.30015501379966736,-0.025553889572620392,-0.17801164090633392,0.7106990814208984,0.8887107223272324,0.7256708145141602,0.7512247040867805,10,0.8906478881835938,12198
IPSL-CM6A-LR,1913,756,0.3978945314884186,0.09605265408754349,-0.5806366205215454,0.4155113697052002,0.9961479902267456,0.8659176230430603,0.7698649689555168,1,0.9964447021484375,12116
CESM2,1918,816,0.46713194251060486,0.08523424714803696,0.14328734576702118,1.0964512825012207,0.9531639367341995,0.9476664066314697,0.8624321594834328,9,0.9528274536132812,12172
EC-Earth3,1983,1596,0.3125394284725189,-0.10886722803115845,-0.2911045551300049,0.6343194246292114,0.9254239797592163,0.6315119862556458,0.7403792142868042,2,0.9228801727294922,12136
EC-Earth3,1949,1188,0.4668610990047455,0.2080298513174057,0.2105715423822403,0.8909183740615845,0.6803468316793442,0.8249373435974121,0.6169074922800064,14,0.6793556213378906,12136
EC-Earth3,1970,1440,0.3593985140323639,0.40641745924949646,0.20022471249103546,1.45802640914917,1.2578016966581345,1.3443423509597778,0.9379248917102814,8,1.2584495544433594,12136
IPSL-CM6A-LR,1921,852,0.3202311098575592,0.5406764149665833,-0.5153218507766724,0.4795316755771637,0.9948535263538361,1.3073903322219849,0.7667139172554016,2,0.9956855773925781,12116
IPSL-CM6A-LR,1852,24,0.45229020714759827,0.41218671202659607,-0.0512225404381752,0.9515913724899292,1.0028139129281044,1.1048078536987305,0.6926211416721344,11,1.0029354095458984,12116
EC-Earth3,1994,1728,0.46555963158607483,-0.06272604316473007,-0.8264008164405823,-0.22451452910900116,0.6018862873315811,0.7515001893043518,0.8142262324690819,8,0.5994396209716797,12136
MPI-ESM1-2-HR,1962,1344,0.29420217871665955,0.6255531907081604,0.010910128243267536,0.7741924524307251,0.7632823241874576,1.4184211492538452,0.7928679585456848,13,0.7634391784667969,12178
MPI-ESM1-2-HR,1959,1308,0.4112211763858795,-0.01613686792552471,0.05196547880768776,0.8302609920501709,0.7782955132424831,0.7153504490852356,0.7314873170107603,8,0.7787933349609375,12178
GFDL-ESM4,1935,1020,0.3347505033016205,0.6365802884101868,0.5514915585517883,1.5791609287261963,1.027669370174408,1.5365943908691406,0.9000141024589539,4,1.0272483825683594,12198
CESM2,1902,624,0.45638784766197205,0.20660282671451569,-0.6797959208488464,0.11517638713121414,0.7949723079800606,0.8181565403938293,0.6115537136793137,7,0.7980518341064453,12172
IPSL-CM6A-LR,1854,48,0.43878045678138733,0.40496766567230225,0.4246831238269806,1.449447512626648,1.0247643887996674,1.339035987854004,0.9340683221817017,10,1.0246162414550781,12116
GFDL-ESM4,1891,492,0.3313802182674408,0.5480968952178955,0.450918585062027,1.398533821105957,0.94761523604393,1.340169906616211,0.7920730113983154,1,0.9484634399414062,12198
EC-Earth3,1995,1740,0.41671624779701233,0.6429886221885681,0.6836362481117249,1.330515742301941,0.6468794941902161,1.240187168121338,0.5971985459327698,11,0.6470527648925781,12136
GFDL-ESM4,1998,1776,0.3940035402774811,0.972719669342041,1.012938380241394,2.1424872875213623,1.1295489072799683,2.0196774005889893,1.0469577312469482,10,1.131866455078125,12198
GFDL-ESM4,1930,960,0.25204405188560486,-0.252598375082016,-0.3796718418598175,0.7801418900489807,1.1598137319087982,0.7761754393577576,1.0287738144397736,15,1.1623477935791016,12198
GFDL-ESM4,1858,96,0.4036458432674408,-0.0969562828540802,-0.44656261801719666,0.5649781823158264,1.011540800333023,0.6125332117080688,0.709489494562149,12,1.0129375457763672,12198
MPI-ESM1-2-HR,2007,1884,0.37617430090904236,0.874434232711792,0.3684163987636566,1.209852695465088,0.8414362967014313,1.6564879417419434,0.7820537090301514,11,0.8416957855224609,12178
GFDL-ESM4,1889,468,0.36500802636146545,0.7170383930206299,-0.37513235211372375,0.561661958694458,0.9367943108081818,1.5378996133804321,0.8208612203598022,2,0.935821533203125,12198
CESM2,1944,1128,0.39630189538002014,-0.12215299159288406,-0.18419933319091797,0.43209049105644226,0.6162898242473602,0.43940046429634094,0.561553455889225,15,0.6156558990478516,12172
GFDL-ESM4,1938,1056,0.35794830322265625,0.7462363839149475,0.772253692150116,2.052609920501709,1.280356228351593,1.9386037588119507,1.1923673748970032,10,1.2823638916015625,12198
EC-Earth3,1905,660,0.4964364469051361,0.2892204821109772,0.3278089463710785,1.048029899597168,0.7202209532260895,0.943981945514679,0.6547614634037018,6,0.7200164794921875,12136
EC-Earth3,1941,1092,0.42234039306640625,-0.1338679939508438,-0.043410882353782654,0.611517608165741,0.6549284905195236,0.4963846206665039,0.6302526146173477,6,0.6538505554199219,12136
MPI-ESM1-2-HR,1876,312,0.2206541746854782,-0.34748032689094543,-0.42861825227737427,0.36780962347984314,0.7964278757572174,0.517538845539093,0.8650191724300385,8,0.8028488159179688,12178
IPSL-CM6A-LR,1881,372,0.3297119140625,0.0860607847571373,-0.05020107701420784,0.9514127373695374,1.0016138143837452,0.9029523730278015,0.8168915882706642,14,1.0017318725585938,12116
IPSL-CM6A-LR,1934,1008,0.4372189939022064,0.4377528131008148,-0.2537502348423004,0.687243640422821,0.9409938752651215,1.2548094987869263,0.8170566856861115,2,0.9410076141357422,12116
MPI-ESM1-2-HR,1922,864,0.4161593019962311,0.28615233302116394,0.013505950570106506,0.8309752345085144,0.8174692839384079,1.0976543426513672,0.8115020096302032,14,0.8193569183349609,12178
EC-Earth3,1996,1752,0.3934987485408783,-0.04071992263197899,-0.1430387794971466,0.8372828960418701,0.9803216755390167,0.8557664752006531,0.8964863978326321,4,0.9794368743896484,12136
