source,target_year,target_t,observed_max_3m_abs,baseline_max_3m,baseline_lead_nino,cnop_lead_nino,lead_delta,cnop_max_3m,gain_max_3m,best_start_idx,best_objective,mask_count,case,cluster,pc1,pc2
MPI-ESM1-2-HR,1959,1308,0.4112211763858795,-0.0161368679255247,0.0519654788076877,0.8302609920501709,0.7782955132424831,0.7153504490852356,0.7314873170107603,8,0.7787933349609375,12178,MPI-ESM1-2-HR_1959,4,0.5648208565602092,-0.038938069622453504
GFDL-ESM4,1935,1020,0.3347505033016205,0.6365802884101868,0.5514915585517883,1.5791609287261963,1.027669370174408,1.5365943908691406,0.9000141024589539,4,1.0272483825683594,12198,GFDL-ESM4_1935,3,-0.10775116404857489,-0.5048006561346824
CESM2,1902,624,0.456387847661972,0.2066028267145156,-0.6797959208488464,0.1151763871312141,0.7949723079800606,0.8181565403938293,0.6115537136793137,7,0.7980518341064453,12172,CESM2_1902,3,-0.3482959173255153,-0.04830611402799508
IPSL-CM6A-LR,1854,48,0.4387804567813873,0.4049676656723022,0.4246831238269806,1.449447512626648,1.0247643887996674,1.339035987854004,0.9340683221817015,10,1.024616241455078,12116,IPSL-CM6A-LR_1854,1,-0.4115624469049693,0.2504855149494774
GFDL-ESM4,1891,492,0.3313802182674408,0.5480968952178955,0.450918585062027,1.398533821105957,0.94761523604393,1.340169906616211,0.7920730113983154,1,0.9484634399414062,12198,GFDL-ESM4_1891,3,-0.18031242032146982,-0.4944595529309975
EC-Earth3,1995,1740,0.4167162477970123,0.6429886221885681,0.6836362481117249,1.330515742301941,0.6468794941902161,1.240187168121338,0.5971985459327698,11,0.6470527648925781,12136,EC-Earth3_1995,2,-0.1384502616602582,0.10199515192684325
GFDL-ESM4,1998,1776,0.3940035402774811,0.972719669342041,1.012938380241394,2.1424872875213623,1.1295489072799685,2.0196774005889893,1.0469577312469482,10,1.131866455078125,12198,GFDL-ESM4_1998,3,0.023957951200996485,-0.47500636493450277
GFDL-ESM4,1930,960,0.2520440518856048,-0.252598375082016,-0.3796718418598175,0.7801418900489807,1.1598137319087982,0.7761754393577576,1.0287738144397736,15,1.1623477935791016,12198,GFDL-ESM4_1930,3,-0.1669715294230375,-0.4202445732551514
GFDL-ESM4,1858,96,0.4036458432674408,-0.0969562828540802,-0.4465626180171966,0.5649781823158264,1.011540800333023,0.6125332117080688,0.709489494562149,12,1.0129375457763672,12198,GFDL-ESM4_1858,3,-0.2031892354571939,-0.43718887457019767
MPI-ESM1-2-HR,2007,1884,0.3761743009090423,0.874434232711792,0.3684163987636566,1.209852695465088,0.8414362967014313,1.6564879417419434,0.7820537090301514,11,0.8416957855224609,12178,MPI-ESM1-2-HR_2007,4,0.6811105915955246,0.01646267780680984
GFDL-ESM4,1889,468,0.3650080263614654,0.7170383930206299,-0.3751323521137237,0.561661958694458,0.9367943108081818,1.537899613380432,0.8208612203598022,2,0.935821533203125,12198,GFDL-ESM4_1889,3,-0.10366382688345023,-0.27151958455274466
CESM2,1944,1128,0.3963018953800201,-0.122152991592884,-0.1841993331909179,0.4320904910564422,0.6162898242473602,0.4394004642963409,0.561553455889225,15,0.6156558990478516,12172,CESM2_1944,3,-0.31390992053076544,-0.12919926436388654
GFDL-ESM4,1938,1056,0.3579483032226562,0.7462363839149475,0.772253692150116,2.052609920501709,1.280356228351593,1.938603758811951,1.1923673748970032,10,1.2823638916015625,12198,GFDL-ESM4_1938,3,-0.23996421358300568,-0.4265679024413271
EC-Earth3,1905,660,0.4964364469051361,0.2892204821109772,0.3278089463710785,1.048029899597168,0.7202209532260895,0.943981945514679,0.6547614634037018,6,0.7200164794921875,12136,EC-Earth3_1905,2,-0.15014909210005734,0.03333145043011812
EC-Earth3,1941,1092,0.4223403930664062,-0.1338679939508438,-0.0434108823537826,0.611517608165741,0.6549284905195236,0.4963846206665039,0.6302526146173477,6,0.6538505554199219,12136,EC-Earth3_1941,2,-0.228164250629605,0.04419975550359089
MPI-ESM1-2-HR,1876,312,0.2206541746854782,-0.3474803268909454,-0.4286182522773742,0.3678096234798431,0.7964278757572174,0.517538845539093,0.8650191724300385,8,0.8028488159179688,12178,MPI-ESM1-2-HR_1876,4,0.5038713293899827,0.20427634990312996
IPSL-CM6A-LR,1881,372,0.3297119140625,0.0860607847571373,-0.0502010770142078,0.9514127373695374,1.0016138143837452,0.9029523730278016,0.8168915882706642,14,1.0017318725585938,12116,IPSL-CM6A-LR_1881,1,-0.39726115938462847,0.3241470672191883
IPSL-CM6A-LR,1934,1008,0.4372189939022064,0.4377528131008148,-0.2537502348423004,0.687243640422821,0.9409938752651216,1.2548094987869265,0.8170566856861115,2,0.9410076141357422,12116,IPSL-CM6A-LR_1934,1,-0.323749485980343,0.32552669429827813
MPI-ESM1-2-HR,1922,864,0.4161593019962311,0.2861523330211639,0.0135059505701065,0.8309752345085144,0.8174692839384079,1.0976543426513672,0.8115020096302032,14,0.8193569183349609,12178,MPI-ESM1-2-HR_1922,4,0.56733274991451,0.16996057933160272
EC-Earth3,1996,1752,0.3934987485408783,-0.0407199226319789,-0.1430387794971466,0.8372828960418701,0.9803216755390168,0.8557664752006531,0.8964863978326321,4,0.9794368743896484,12136,EC-Earth3_1996,2,-0.16109455681237403,0.07218137224261292
